,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.637013,0.0,0.0,0.0,0.0,0.0,2.2780032,12.9,2.282731,9.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,2.8153036,2.751829,0.12500715,1.874987,1.874987,43.5,1.5899308,65.0,1.5788642,64.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.0463283,2.0391345,0.053560972,1.4935895,1.4935895,67.3,1.3764902,73.5,1.3858228,72.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.2849073,1.6404743,0.04420519,1.314998,1.314998,76.3,1.2233605,78.9,1.2600422,76.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.5254297,1.3905445,0.07028985,1.1714392,1.1714392,80.9,1.0948873,82.5,1.1586022,78.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.7620962,1.229335,0.05107689,1.0495389,1.0495389,84.3,0.9852659,85.0,1.0734552,81.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.9921148,1.1134452,0.046813965,0.94445354,0.94445354,85.5,0.8898532,86.5,1.001386,79.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.2145076,1.014094,0.04459381,0.8529282,0.8529282,87.8,0.8060454,88.0,0.94044673,80.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.4285755,0.9311523,0.04661727,0.7726183,0.7726183,89.2,0.73264855,89.9,0.8890838,84.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.634168,0.86433756,0.045035124,0.70253646,0.70253646,90.6,0.6690562,91.2,0.8459306,84.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.8319364,0.8037097,0.044177055,0.6416925,0.6416925,91.3,0.6142065,92.4,0.8099176,84.0
